TRN_STUDENT_ACADEMICYEAR,TRN_STUDENT_GENDER_NAME,TRN_STUDENT_GRADE_LEVEL_NAME,TRN_STUDENT_STUDENTSTATUS_NAME,TOTAL
2563,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่สามารถจำแนกข้อมูลได้,2
2563,ชาย,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่สามารถจำแนกข้อมูลได้,26030
2563,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,3013
2563,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,3786
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,พักการเรียน,1
2563,หญิง,เตรียมอนุบาล,ไม่สามารถจำแนกข้อมูลได้,380
2562,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,อยู่ระหว่างดำเนินการติดตาม,1372
2562,ชาย,ประถมศึกษาปีที่ 5/เกรด 5,อยู่ระหว่างดำเนินการติดตาม,651
2562,ชาย,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่ระบุข้อมูล,4684
2562,ชาย,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,8116
2562,ชาย,ประถมศึกษาปีที่ 1/เกรด 1,อยู่ระหว่างดำเนินการติดตาม,620
2562,หญิง,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,อยู่ระหว่างดำเนินการติดตาม,212
2562,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,5606
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,230
